Year,N,R2,Adj_R2,Coverage_1st_coef,Coverage_2nd_coef,PC1_coef,PC2_coef,PC3_coef
2015,176,0.023306994155552818,-0.005589248620910148,1.4837430338119473,4.83879119669531,-39.81822372299305,-19.528548042580407,-12.179499425745956
2016,179,0.010382374274592321,-0.018385579961611498,-1.0728082297108914,4.89623845006131,-22.395726768626247,-3.986771099667768,-13.155159831728069
2017,182,0.07127993674276378,0.0447450777925571,-2.8964978444589224,0.9612387385916196,-2.18102902036353,-0.3681198869378238,3.2041520518257234
2018,182,0.04947963299761848,0.02232190822612201,-2.0376779445924686,0.7998982218439854,-3.576569736918788,4.74236128339285,-21.8441031426674
2019,187,0.03621020072132697,0.009586173116943653,-9.544895645332987,3.097733035711494,-9.490040389899203,4.502887371075701,-5.644956599409566
2020,176,0.16386327836792403,0.1392710218493336,-1.8483003829917535,0.8666749719214623,-5.656553222524757,-0.9242134788109724,3.682325060598164
2021,153,0.21077340828987767,0.18392896639497547,0.06618821177976592,-0.5504648401561633,-2.088440790542146,0.8609835478281778,2.549342999640649
2022,168,0.10887260267020049,0.08136867065384878,0.18811598680665953,-1.3437513643109282,-8.664345435655438,6.743533612772237,3.3189766299328953
2023,176,0.06965282349313939,0.0422896712429377,-3.551791226334207,2.0386956046166826,-15.886439450939038,-4.302396800246398,-3.92663207163521
2024,185,0.019639784018835482,-0.0077445795560573405,-2.9231316723979552,1.817979363452878,-14.766390177625903,-0.4866145505462524,4.724862557356937
