Year,Metric,Correlation,P-value,N,Significance
2023,GDP per Capita,-0.43699503082375774,0.02894168168652058,25,*
2023,Vaccine Hesitancy (%),-0.00550610244902004,0.979160702361512,25,ns
2023,Urban Population (%),-0.005384615384615384,0.9796204078469652,25,ns
2023,Birth Rate,0.5446153846153846,0.004879812185468513,25,**
2023,Net Migration,0.03654549019324203,0.862313444929844,25,ns
2023,Population Density,-0.3376923076923077,0.09875341756240204,25,.
2023,Political Stability Index,-0.5346153846153846,0.005900861073159648,25,**
2023,Household Size,0.3328203401418008,0.10402694917343121,25,ns
2023,Vaccine Coverage 1st Dose (%),-0.5255055369491,0.006981694440595634,25,**
2023,Vaccine Coverage 2nd Dose (%),-0.4100098145427044,0.04179179085075433,25,*
2023,Year,,,25,
